;origin_css;destination_css;distance;duration
0;Albaniensgade 4;Bispebjerg Bakke 22;9.4;24 
1;Albaniensgade 4;Nesbyholmvej 1;9.3;21 
2;Albaniensgade 4;Halvtolv 19;3.1;10 
3;Albaniensgade 4;Solvgade 11;4.1;14 
4;Albaniensgade 4;Amalievej 1;6.0;16 
5;Albaniensgade 4;Esthersvej 34;10.2;26 
6;Albaniensgade 4;Husumvej (overfor 131);11.5;25 
7;Albaniensgade 4;Drechselsgade 13;4.4;13 
8;Albaniensgade 4;Orientkaj 4;7.4;20 
9;Albaniensgade 4;Bygmestervej 59;8.1;20 
10;Albaniensgade 4;Egirsgade 65;7.8;20 
11;Albaniensgade 4;Borups Plads (overfor Stefansgade 73);6.4;16 
12;Albaniensgade 4;Arne Jacobsens Alle 7;5.7;14 
13;Albaniensgade 4;Frederik Vs Vej 13  (Rigshospital P huset);7.1;19 
14;Albaniensgade 4;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);13.2;25 
15;Albaniensgade 4;Borgbjergsvej 43;8.0;18 
16;Albaniensgade 4;Vigerslev Venge 60;9.7;24 
17;Albaniensgade 4;Dronninglundvej 12;10.1;24 
18;Albaniensgade 4;Westend 8;5.0;16 
19;Bispebjerg Bakke 22;Albaniensgade 4;9.5;24 
20;Bispebjerg Bakke 22;Nesbyholmvej 1;4.0;10 
21;Bispebjerg Bakke 22;Halvtolv 19;8.0;24 
22;Bispebjerg Bakke 22;Solvgade 11;4.8;13 
23;Bispebjerg Bakke 22;Amalievej 1;4.7;14 
24;Bispebjerg Bakke 22;Esthersvej 34;3.3;10 
25;Bispebjerg Bakke 22;Husumvej (overfor 131);5.3;14 
26;Bispebjerg Bakke 22;Drechselsgade 13;8.8;23 
27;Bispebjerg Bakke 22;Orientkaj 4;6.5;13 
28;Bispebjerg Bakke 22;Bygmestervej 59;1.6;5 
29;Bispebjerg Bakke 22;Egirsgade 65;2.1;7 
30;Bispebjerg Bakke 22;Borups Plads (overfor Stefansgade 73);3.3;10 
31;Bispebjerg Bakke 22;Arne Jacobsens Alle 7;12.0;28 
32;Bispebjerg Bakke 22;Frederik Vs Vej 13  (Rigshospital P huset);3.6;10 
33;Bispebjerg Bakke 22;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);3.9;10 
34;Bispebjerg Bakke 22;Borgbjergsvej 43;8.4;24 
35;Bispebjerg Bakke 22;Vigerslev Venge 60;9.9;23 
36;Bispebjerg Bakke 22;Dronninglundvej 12;5.7;14 
37;Bispebjerg Bakke 22;Westend 8;6.5;19 
38;Nesbyholmvej 1;Albaniensgade 4;9.2;20 
39;Nesbyholmvej 1;Bispebjerg Bakke 22;4.1;10 
40;Nesbyholmvej 1;Halvtolv 19;9.2;21 
41;Nesbyholmvej 1;Solvgade 11;7.1;15 
42;Nesbyholmvej 1;Amalievej 1;4.5;9 
43;Nesbyholmvej 1;Esthersvej 34;6.2;14 
44;Nesbyholmvej 1;Husumvej (overfor 131);2.6;5 
45;Nesbyholmvej 1;Drechselsgade 13;8.5;18 
46;Nesbyholmvej 1;Orientkaj 4;9.4;17 
47;Nesbyholmvej 1;Bygmestervej 59;3.1;8 
48;Nesbyholmvej 1;Egirsgade 65;3.7;11 
49;Nesbyholmvej 1;Borups Plads (overfor Stefansgade 73);3.5;8 
50;Nesbyholmvej 1;Arne Jacobsens Alle 7;23.5;22 
51;Nesbyholmvej 1;Frederik Vs Vej 13  (Rigshospital P huset);6.9;15 
52;Nesbyholmvej 1;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);4.8;10 
53;Nesbyholmvej 1;Borgbjergsvej 43;9.6;20 
54;Nesbyholmvej 1;Vigerslev Venge 60;6.9;16 
55;Nesbyholmvej 1;Dronninglundvej 12;1.7;4 
56;Nesbyholmvej 1;Westend 8;6.1;15 
57;Halvtolv 19;Albaniensgade 4;3.2;10 
58;Halvtolv 19;Bispebjerg Bakke 22;8.1;25 
