,Unnamed: 0,traveller_id,lat_o,lng_o,lat_d,lng_d,css_o,lat_css_o,lng_css_o,css_d,lat_css_d,lng_css_d
0,1,t1,55.66034659999999,12.6124427,55.7155986,12.5491707,Albaniensgade 4,55.6629687,12.6150036,Bispebjerg Bakke 22,55.714287,12.544606
1,2,t2,55.66034659999999,12.6124427,55.7145986,12.5472417,Albaniensgade 4,55.6629687,12.6150036,Bispebjerg Bakke 22,55.714287,12.544606
2,3,t3,55.66034659999999,12.6124427,55.6944184,12.5088552,Albaniensgade 4,55.6629687,12.6150036,Nesbyholmvej 1,55.6967862,12.5046889
3,4,t4,55.66034659999999,12.6124427,55.6957116,12.5020127,Albaniensgade 4,55.6629687,12.6150036,Nesbyholmvej 1,55.6967862,12.5046889
4,5,t5,55.66034659999999,12.6124427,55.6815622,12.6035183,Albaniensgade 4,55.6629687,12.6150036,Halvtolv 19,55.678067,12.605109
5,6,t6,55.66034659999999,12.6124427,55.679351,12.6063932,Albaniensgade 4,55.6629687,12.6150036,Halvtolv 19,55.678067,12.605109
6,7,t7,55.66034659999999,12.6124427,55.6821885,12.5853534,Albaniensgade 4,55.6629687,12.6150036,Solvgade 11,55.68544739999999,12.5850568
7,8,t8,55.66034659999999,12.6124427,55.6858274,12.5772687,Albaniensgade 4,55.6629687,12.6150036,Solvgade 11,55.68544739999999,12.5850568
8,9,t9,55.66034659999999,12.6124427,55.6757724,12.5426171,Albaniensgade 4,55.6629687,12.6150036,Amalievej 1,55.6795777,12.5433161
9,10,t10,55.66034659999999,12.6124427,55.677688,12.546912,Albaniensgade 4,55.6629687,12.6150036,Amalievej 1,55.6795777,12.5433161
10,11,t11,55.66034659999999,12.6124427,55.7326892,12.5690945,Albaniensgade 4,55.6629687,12.6150036,Esthersvej 34,55.7309704,12.5659228
11,12,t12,55.66034659999999,12.6124427,55.73273,12.5654915,Albaniensgade 4,55.6629687,12.6150036,Esthersvej 34,55.7309704,12.5659228
12,13,t13,55.66034659999999,12.6124427,55.7051614,12.481215,Albaniensgade 4,55.6629687,12.6150036,Husumvej (overfor 131),55.7046643,12.4787843
13,14,t14,55.66034659999999,12.6124427,55.6538288,12.566855,Albaniensgade 4,55.6629687,12.6150036,Drechselsgade 13,55.6571548,12.5684851
14,15,t15,55.66034659999999,12.6124427,55.6576191,12.566949,Albaniensgade 4,55.6629687,12.6150036,Drechselsgade 13,55.6571548,12.5684851
15,16,t16,55.66034659999999,12.6124427,55.713568,12.5927798,Albaniensgade 4,55.6629687,12.6150036,Orientkaj 4,55.711612,12.5952725
16,17,t17,55.66034659999999,12.6124427,55.710214,12.5926909,Albaniensgade 4,55.6629687,12.6150036,Orientkaj 4,55.711612,12.5952725
17,18,t18,55.66034659999999,12.6124427,55.7035416,12.538201,Albaniensgade 4,55.6629687,12.6150036,Bygmestervej 59,55.70464879999999,12.5368945
